what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1329961703943
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1329961703955
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1329961703981
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1329961704122
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1329961704124
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1329961704126
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1329961704144
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1329961704164
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1329961704698
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1329961704928
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1329961706359
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1329961706436
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1329961706438
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961709136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961711680
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961711711
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961715697
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961715725
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1329961725148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961725171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961729974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961733511
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961733550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961735078
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961735106
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1329961735131
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1329961743431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961743445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961746670
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1329961749295
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961749324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961829359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961861201
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textStart",1329961896393
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1329961940971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961957177
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329961971782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965046789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965055010
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textStart",1329965062766
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329965065466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965072449
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965073529
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1329965076663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1329965077130
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1329965080939
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1329965081187
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1329965090302
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1329965090540
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965135672
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965149469
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329965173517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965215588
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965404555
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965404698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965406640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965410952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965412794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965412823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965417888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965417918
started,bundle,org.eclipse.dltk.debug,2.0.0.v20091110-1532,"org.eclipse.dltk.debug",1329965422479
started,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1329965422514
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1329965426101
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1329965426145
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1329965426166
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1329965470677
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1329965490191
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965490203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965494652
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965496205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329965496234
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329965497903
